corr_values;ROI_hemi_condition;ROI;hemi;condition;ID
0,153649412;lpFusG_RHI-I;pFusG;l;R_HII;1
0,127115785;lpFusG_RHI-I;pFusG;l;R_HII;2
-0,04256388;lpFusG_RHI-I;pFusG;l;R_HII;3
0,09128287;lpFusG_RHI-I;pFusG;l;R_HII;4
-0,040426662;lpFusG_RHI-I;pFusG;l;R_HII;5
0,081968937;lpFusG_RHI-I;pFusG;l;R_HII;6
0,136144201;lpFusG_RHI-I;pFusG;l;R_HII;7
0,034728078;lpFusG_RHI-I;pFusG;l;R_HII;8
0,10541808;lpFusG_RHI-I;pFusG;l;R_HII;9
-0,001281063;lpFusG_RHI-I;pFusG;l;R_HII;10
0,351181931;lpFusG_RHI-I;pFusG;l;R_HII;11
0,235806254;lpFusG_RHI-I;pFusG;l;R_HII;12
0,154438424;lpFusG_RHI-I;pFusG;l;R_HII;13
-0,044888208;lpFusG_RHI-I;pFusG;l;R_HII;14
0,303457774;lpFusG_RHI-I;pFusG;l;R_HII;15
0,218526118;lpFusG_RHI-I;pFusG;l;R_HII;16
0,184717728;lpFusG_RHI-I;pFusG;l;R_HII;17
0,088375206;lpFusG_RHI-I;pFusG;l;R_HII;18
0,184506586;lpFusG_RHI-I;pFusG;l;R_HII;19
-0,397717514;lpFusG_RHI-I;pFusG;l;R_HII;20
0,030375924;lpFusG_RHI-I;pFusG;l;R_HII;21
0,132437955;lpFusG_RHI-I;pFusG;l;R_HII;22
0,482693276;lpFusG_RHI-I;pFusG;l;R_HII;23
0,184744477;lpFusG_RHI-I;pFusG;l;R_HII;24
0,017333881;lpFusG_RHI-I;pFusG;l;R_HII;25
0,127319999;lpFusG_RHI-I;pFusG;l;R_HII;26
0,062072941;lpFusG_RHI-I;pFusG;l;R_HII;27
0,130191287;lpFusG_RHI-I;pFusG;l;R_HII;28
NA;lpFusG_RHI-I;pFusG;l;R_HII;29
0,22808591;lpFusG_RHI-I;pFusG;l;R_HII;30
0,094208427;lpFusG_RHI-I;pFusG;l;R_HII;31
0,166607329;lpFusG_RHI-I;pFusG;l;R_HII;32
0,460909277;riLOC_RHI-I;iLOC;r;R_HII;1
0,066813687;riLOC_RHI-I;iLOC;r;R_HII;2
-0,033017155;riLOC_RHI-I;iLOC;r;R_HII;3
0,407943818;riLOC_RHI-I;iLOC;r;R_HII;4
-0,060955755;riLOC_RHI-I;iLOC;r;R_HII;5
