rAmy_rROI;r_Amy_lROI;corr_value;hemi;condition;hemi_ROI;ROI
0,253658546;0,343232166;0,298445356;right;HI_I_vis;r Amy - iLOC;iLOC
-0,025038413;0,004918358;-0,010060028;right;HI_I_vis;r Amy - iLOC;iLOC
0,090408049;0,132051243;0,111229646;right;HI_I_vis;r Amy - iLOC;iLOC
0,132017223;0,049291981;0,090654602;right;HI_I_vis;r Amy - iLOC;iLOC
0,060734248;0,021616142;0,041175195;right;HI_I_vis;r Amy - iLOC;iLOC
0,119130426;0,114024955;0,116577691;right;HI_I_vis;r Amy - iLOC;iLOC
0,069262646;0,080276856;0,074769751;right;HI_I_vis;r Amy - iLOC;iLOC
0,122977234;0,08996964;0,106473437;right;HI_I_vis;r Amy - iLOC;iLOC
0,188917148;0,217074235;0,202995692;right;HI_I_vis;r Amy - iLOC;iLOC
0,479672144;0,401361324;0,440516734;right;HI_I_vis;r Amy - iLOC;iLOC
0,262970749;0,094512;0,178741375;right;HI_I_vis;r Amy - iLOC;iLOC
0,290509202;0,235651901;0,263080551;right;HI_I_vis;r Amy - iLOC;iLOC
0,187314571;0,185263926;0,186289249;right;HI_I_vis;r Amy - iLOC;iLOC
0,129838073;-0,005914542;0,061961766;right;HI_I_vis;r Amy - iLOC;iLOC
0,208154491;0,152960443;0,180557467;right;HI_I_vis;r Amy - iLOC;iLOC
0,062842964;-0,014160049;0,024341457;right;HI_I_vis;r Amy - iLOC;iLOC
0,146457049;0,0925008;0,119478924;right;HI_I_vis;r Amy - iLOC;iLOC
0,372529784;0,324776646;0,348653215;right;HI_I_vis;r Amy - iLOC;iLOC
0,224047366;0,148089385;0,186068375;right;HI_I_vis;r Amy - iLOC;iLOC
0,27752758;0,224840256;0,251183918;right;HI_I_vis;r Amy - iLOC;iLOC
0,057198471;0,027080372;0,042139421;right;HI_I_vis;r Amy - iLOC;iLOC
0,244013147;0,233601217;0,238807182;right;HI_I_vis;r Amy - iLOC;iLOC
0,034355588;-0,089000784;-0,027322598;right;HI_I_vis;r Amy - iLOC;iLOC
