date;time;subject;blocknum;trialnum;trialcode;response;correct;cor2;latency;stimulusnumber1;stimulusitem1
02/12/2023;12:05:00;102;2;2;visAHA;5;0;;6649;15;1PVIP_015_crocodile1_gauss2.5.jpg
02/12/2023;12:05:00;102;3;2;visAHA;3;1;;4331;70;2PVIP_064_bridge_gauss2.5.jpg
02/12/2023;12:05:00;102;3;3;solution_solved_VIS;4;0;;3937;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;4;2;visCATCH;6;1;;1876;17;3PVIP_049_seahorse_gauss6.jpg
02/12/2023;12:05:00;102;5;2;visAHA;2;1;;3044;77;2PVIP_071_chair1_gauss3.jpg
02/12/2023;12:05:00;102;5;3;solution_solved_VIS;4;0;;4618;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;6;2;visAHA;2;1;;2910;11;1PVIP_011_butterfly2.jpg
02/12/2023;12:05:00;102;6;3;solution_solved_VIS;6;0;;1329;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;7;2;visCATCH;3;0;;9226;18;3PVIP_050_sloth_gauss4.jpg
02/12/2023;12:05:00;102;7;3;solution_solved_VIScatch;5;1;;1372;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;8;2;visAHA;2;1;;3074;106;2PVIP_101_orange.jpg
02/12/2023;12:05:00;102;8;3;solution_solved_VIS;2;1;;626;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
